总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,装修情况
1380.0,130645,"['东城', '东花市']",2室1厅1厨1卫,高楼层 ,105.63,平层,精装
1040.0,114023,"['东城', '崇文门']",3室1厅1厨1卫,低楼层 ,91.21,平层,精装
596.0,93859,"['东城', '天坛']",3室1厅1厨1卫,中楼层 ,63.5,平层,精装
650.0,110564,"['东城', '和平里']",2室1厅1厨1卫,中楼层 ,58.79,平层,精装
765.0,100977,"['东城', '崇文门']",2室1厅1厨1卫,高楼层 ,75.76,平层,精装
875.0,122139,"['东城', '朝阳门内']",2室1厅1厨1卫,中楼层 ,71.64,平层,精装
878.0,115360,"['东城', '东花市']",2室1厅1厨1卫,低楼层 ,76.11,平层,简装
633.0,99890,"['东城', '东直门']",3室1厅1厨1卫,低楼层 ,63.37,平层,精装
836.0,93523,"['东城', '东直门']",3室1厅1厨1卫,高楼层 ,89.39,平层,精装
698.0,90019,"['东城', '东直门']",3室1厅1厨1卫,底层 ,77.54,平层,简装
560.0,103781,"['东城', '安定门']",2室1厅1厨1卫,中楼层 ,53.96,平层,精装
755.0,130061,"['东城', '崇文门']",1室1厅1厨1卫,高楼层 ,58.05,平层,精装
458.0,31172,"['东城', '东直门']",1室1厅1厨1卫,中楼层 ,146.93,平层,简装
899.0,106290,"['东城', '东花市']",2室1厅1厨1卫,中楼层 ,84.58,平层,精装
675.0,109953,"['东城', '东直门']",2室1厅1厨1卫,中楼层 ,61.39,平层,简装
1900.0,136387,"['东城', '工体']",3室2厅1厨2卫,低楼层 ,139.31,平层,简装
1760.0,121943,"['东城', '安定门']",3室2厅1厨2卫,高楼层 ,144.33,平层,精装
1020.0,99600,"['东城', '安定门']",3室1厅1厨2卫,高楼层 ,102.41,平层,精装
1650.0,115628,"['东城', '和平里']",4室2厅1厨2卫,中楼层 ,142.7,平层,精装
1220.0,116568,"['东城', '崇文门']",3室1厅1厨1卫,低楼层 ,104.66,平层,精装
925.0,62236,"['东城', '永定门']",3室1厅1厨2卫,中楼层 ,148.63,平层,精装
1647.0,115417,"['东城', '和平里']",4室1厅1厨2卫,中楼层 ,142.7,平层,精装
2300.0,123239,"['东城', '崇文门']",4室1厅1厨3卫,低楼层 ,186.63,平层,精装
